Ref,Val,Package,PosX,PosY,Rot,Side
"D1","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",94.985000,-49.625000,90.000000,bottom
"D2","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",120.200000,-49.550000,90.000000,bottom
"D3","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",141.850000,-50.300000,90.000000,bottom
"D4","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",160.600000,-50.115000,90.000000,bottom
"D5","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",203.020000,-50.370000,90.000000,bottom
"D6","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",221.920000,-50.185000,90.000000,bottom
"D10","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",90.525000,-74.285000,90.000000,bottom
"D11","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",93.450000,-74.325000,90.000000,bottom
"D12","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",110.975000,-73.875000,90.000000,bottom
"D13","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",129.900000,-73.450000,90.000000,bottom
"D14","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",149.450000,-73.925000,90.000000,bottom
"D15","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",169.075000,-73.925000,90.000000,bottom
"D16","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",187.350000,-73.750000,90.000000,bottom
"D17","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",206.650000,-74.150000,90.000000,bottom
"D18","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",226.725000,-74.150000,90.000000,bottom
"D19","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",244.825000,-73.750000,90.000000,bottom
"D20","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",264.350000,-74.175000,90.000000,bottom
"D21","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",283.350000,-73.650000,90.000000,bottom
"D24","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",302.350000,-72.625000,90.000000,bottom
"D25","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",75.675000,-92.435000,90.000000,bottom
"D26","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",101.175000,-92.535000,90.000000,bottom
"D27","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",120.675000,-92.435000,90.000000,bottom
"D28","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",139.125000,-92.470000,90.000000,bottom
"D29","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",159.250000,-92.470000,90.000000,bottom
"D30","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",178.125000,-92.860000,90.000000,bottom
"D31","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",196.975000,-93.285000,90.000000,bottom
"D32","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",215.850000,-92.860000,90.000000,bottom
"D33","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",235.125000,-93.685000,90.000000,bottom
"D34","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",255.675000,-91.710000,90.000000,bottom
"D35","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",274.250000,-92.150000,90.000000,bottom
"D36","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",294.000000,-92.485000,90.000000,bottom
"D37","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",312.575000,-92.150000,90.000000,bottom
"D38","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",331.500000,-93.010000,90.000000,bottom
"D39","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",100.925000,-111.110000,90.000000,bottom
"D40","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",105.725000,-111.210000,90.000000,bottom
"D41","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",125.050000,-111.560000,90.000000,bottom
"D42","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",144.500000,-112.210000,90.000000,bottom
"D43","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",163.400000,-112.985000,90.000000,bottom
"D44","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",182.900000,-112.795000,90.000000,bottom
"D45","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",201.825000,-112.435000,90.000000,bottom
"D46","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",221.025000,-111.860000,90.000000,bottom
"D47","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",240.725000,-112.435000,90.000000,bottom
"D48","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",259.800000,-112.110000,90.000000,bottom
"D49","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",278.875000,-111.785000,90.000000,bottom
"D50","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",298.300000,-112.250000,90.000000,bottom
"D51","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",321.325000,-111.460000,90.000000,bottom
"D52","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",104.150000,-131.035000,90.000000,bottom
"D53","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",109.800000,-131.720000,90.000000,bottom
"D54","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",134.850000,-131.970000,90.000000,bottom
"D55","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",154.150000,-131.470000,90.000000,bottom
"D56","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",173.200000,-131.220000,90.000000,bottom
"D57","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",192.475000,-131.470000,90.000000,bottom
"D58","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",211.825000,-130.985000,90.000000,bottom
"D59","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",230.525000,-130.860000,90.000000,bottom
"D60","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",250.500000,-131.535000,90.000000,bottom
"D61","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",269.450000,-130.860000,90.000000,bottom
"D62","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",288.750000,-132.185000,90.000000,bottom
"D63","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",314.600000,-131.185000,90.000000,bottom
"D64","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",90.275000,-150.335000,90.000000,bottom
"D65","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",93.100000,-150.335000,90.000000,bottom
"D66","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",110.825000,-151.120000,90.000000,bottom
"D67","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",131.950000,-151.120000,90.000000,bottom
"D68","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",151.650000,-152.110000,90.000000,bottom
"D69","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",274.175000,-150.185000,90.000000,bottom
